time_stamp,throughput,bitrate,buffer_size,rebuff,video_chunk_size,delay,entropy,reward
22070.925244565522,1.53872932331,750,4.0,2.5585548523374078,450283,2558.5548523374077,0.004705182,-10.251785865050852
22073.660310830335,1.29379271709,750,5.264933735184073,0.0,398865,2735.066264815927,0.011371893,0.75
22075.981623782278,1.35392079208,750,6.943620783241986,0.0,350812,2321.3129519420877,0.0058267424,0.75
22078.716083552594,1.47463870353,750,8.209161012923804,0.0,382355,2734.459770318182,0.028912049,0.75
22080.82659569658,2.03166887417,750,10.098648868939549,0.0,411561,2110.512143984255,0.054957293,0.75
22083.835539654534,1.57462268041,1200,11.089704910983325,0.0,520315,3008.943957956222,0.12810937,0.75
22087.367916131694,1.391687434,1200,11.557328433823539,0.0,561791,3532.376477159786,0.05077537,1.2
22091.549106979055,1.5874010327,1200,11.376137586464687,0.0,709534,4181.190847358853,0.078069195,1.2
22094.768211257397,1.38658376511,1200,12.15703330812136,0.0,584846,3219.1042783433277,0.054211773,1.2
22098.197916691057,1.23021348315,1200,12.72732787446353,0.0,560821,3429.7054336578294,0.3617048,1.2
22102.748364471172,1.18597067449,1200,12.17688009434882,0.0,607410,4550.447780114711,0.13966723,1.2
22108.731491230144,1.13279035499,1200,10.19375333537631,0.0,594078,5983.126758972509,0.10586539,1.2
22111.50254223271,1.21504711111,750,11.42270233281397,0.0,386351,2771.0510025623407,0.060246,0.3
22119.145588107644,0.472477429227,1200,7.7796564578803205,0.0,687371,7643.0458749336485,0.69343615,0.75
22121.802385172316,0.440876068376,300,9.122859393208905,0.0,140051,2656.797064671415,0.38984793,-0.6000000000000001
22127.670794676407,0.773502164502,750,7.254449889116961,0.0,366214,5868.409504091946,0.31678703,0.3
22129.29445798736,0.846668292683,300,9.630786578169767,0.0,143509,1623.6633109471934,0.10636647,-0.15000000000000002
22132.836998528703,1.01867204301,750,0.0,0.0,372963,3542.5405413469784,0.007181979,0.3
22134.284019137645,1.01984944649,300,4.0,1.4470206089425661,165384,1447.020608942566,0.004705182,-6.372188618453034
22135.527295070064,1.01984944649,300,6.756724067584121,0.0,140881,1243.2759324158797,0.004705182,0.3
22137.059123892428,0.901552486188,300,9.224895245221902,0.0,157671,1531.8288223622176,0.11800255,0.3
22142.08909272561,1.0513984,750,8.194926412036454,0.0,399894,5029.968833185448,0.08382003,0.3
22145.32168834373,1.02071386431,750,8.962330793919637,0.0,401853,3232.5956181168162,0.24069236,0.75
22148.569291464017,0.830374485597,750,9.714727673634927,0.0,343800,3247.603120284709,0.0047230613,0.75
22152.317520939523,0.927127641589,750,9.966498198129377,0.0,359903,3748.2294755055505,0.004705182,0.75
22156.08580235327,0.822886253843,750,10.198216784381001,0.0,379700,3768.2814137483756,0.004705182,0.75
22160.571626369318,0.878524822695,750,9.712392768336104,0.0,425781,4485.8240160448995,0.004705182,0.75
22163.99314513912,0.71413700991,750,10.29087399853291,0.0,277716,3421.518769803196,0.004705182,0.75
22168.1648895405,1.16016931217,750,10.119129597151147,0.0,400396,4171.74440138176,0.004705182,0.75
22171.412114536564,0.962497354497,750,10.871904601087648,0.0,400508,3247.224996063501,0.004705182,0.75
22175.173205583502,0.631204646396,750,11.110813554150724,0.0,358218,3761.0910469369246,0.04668635,0.75
22180.096755195125,0.969090681676,750,10.187263942526293,0.0,400322,4923.54961162443,0.0056040017,0.75
22183.09397682809,0.741749019608,750,11.19004230956046,0.0,369834,2997.2216329658327,0.004705182,0.75
22188.35236489753,0.551932275132,750,9.931654240120915,0.0,412837,5258.388069439545,0.042541016,0.75
22193.636490667646,0.904312611012,750,8.647528470005502,0.0,401088,5284.1257701154145,0.0059950706,0.75
22196.765684211037,0.858543352601,750,9.518334926613568,0.0,365161,3129.193543391933,0.04120963,0.75
22199.199411599522,1.26478942731,750,11.084607538131579,0.0,321064,2433.727388481989,0.007418401,0.75
22201.63004890266,1.25248857368,750,12.653970234991759,0.0,361565,2430.6373031398202,0.112821974,0.75
22206.024801746742,1.24085316847,1200,12.259217390913005,0.0,605884,4394.752844078754,0.5967031,0.75
22210.360153195554,1.10455485498,1200,11.923865942100921,0.0,587506,4335.351448812084,0.17137207,1.2
22214.320349623573,1.02717965024,1200,11.963669514081198,0.0,566904,3960.1964280197226,0.123805985,1.2
22220.234054108736,0.939586666667,1200,10.049965028919148,0.0,641452,5913.70448516205,0.15386407,1.2
22223.422568363443,1.24606016408,750,10.861450774211741,0.0,372093,3188.5142547074056,0.020065501,0.3
22226.849795780432,0.998355618777,750,11.434223357222203,0.0,438281,3427.227416989539,0.0895002,0.75
22230.457158118326,1.14548230396,750,11.82686101932841,0.0,398987,3607.362337893793,0.22953753,0.75
22233.58300142219,0.839361127422,750,12.701017715466637,0.0,393804,3125.843303861771,0.23753682,0.75
22237.209113479348,0.569775216138,750,13.074905658305985,0.0,331053,3626.112057160653,0.5079119,0.75
22244.500790217073,0.894755311857,1200,9.783228920583658,0.0,550906,7291.676737722326,0.6480354,0.75
